Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Activity,Prediction
0.7771399167,2.118246037833349,-1.315650635834214,-2.7572632154879613,14.76791943,Jumping,1
0.7871879166,1.9577331246517737,-1.0680479414519302,-2.276689227009286,13.79389965,Jumping,1
0.7972359167,1.7820072991464966,-0.8138196226470565,-1.7572357557759755,12.58697755,Jumping,1
0.8072839166,1.5891873805411099,-0.5511151691659243,-1.2094008420758429,11.13701857,Jumping,1
0.8173319167,1.3993634995632602,-0.3253407983950952,-0.7213274289070086,9.616924088,Jumping,1
0.8273789167,1.2011636636988394,-0.10269826226923909,-0.30080706578733774,8.077506606,Jumping,1
0.8374269166,0.9946611925144275,0.1044642947709777,0.077707289821824,6.654185051,Jumping,1
0.8474749167,0.7672815716479738,0.3080746379603252,0.35816661635095864,5.425916971,Jumping,1
0.8575229166,0.5045531714365751,0.47853167604670166,0.5773721177241229,4.752048462,Jumping,1
0.8675709167,0.31982005057698737,0.4990330911269437,0.7732694523093028,4.562853388,Jumping,1
0.8776189167,-0.03217646222483266,0.7413083206764269,1.018993674497164,6.042103706,Jumping,1
0.8876669166,-0.2490624194475725,0.9091322291326238,1.3096208980800426,7.311892353,Jumping,1
0.8977149167,-0.37127315957089185,0.9899137755647858,1.6198875997785325,8.172839793,Jumping,1
0.9077629166,-0.7766594397449329,1.1309429955710606,1.9387015534298735,10.88890705,Jumping,1
0.9178109167,-0.9585183524352162,1.1160206446461127,2.229355371243154,12.11001594,Jumping,1
0.9278589166,-1.0551033671561183,1.1408961276910705,2.4943908797152288,12.91497335,Jumping,1
0.9379069167,-1.1643467586611986,1.1758762592520073,2.7642215353072914,13.76978226,Jumping,1
1.209200333,2.3881727609280903,-3.2342698571133486,2.3615635168381486,19.32087214,Jumping,1
1.219248333,2.1870962581328457,-2.8557312487693607,2.2622089691378195,17.28035632,Jumping,1
1.229296333,1.9785958474324268,-2.3351254918101194,2.1936964051768553,14.83267042,Jumping,1
1.239344333,1.7166486778599341,-1.7259680599290723,2.1508750919895987,11.90460965,Jumping,1
1.249392333,1.3799829423397474,-1.0678636825329806,2.092685736018865,8.545675927,Jumping,1
1.259440333,1.0309295982687567,-0.48850829374648164,1.9671015342982945,5.424608727,Jumping,1
1.269488333,0.7018787203352781,-0.012895151829835238,1.7505679220411827,3.250326329,Jumping,1
1.279536333,0.36907149957465957,0.3931818156660109,1.441516227511047,3.41142424,Jumping,1
1.289584333,0.05020166620002579,0.7594795674271372,1.0611280624114234,5.506988768,Jumping,1
1.299632333,-0.21734411090261685,1.0108972034683166,0.6501257995911881,7.497019617,Jumping,1
1.309680333,-0.4509601803653766,1.1618747049227516,0.24214125871894573,9.127306694,Jumping,1
1.319727333,-0.6064557325550392,1.243349345018904,-0.14214188113581203,10.20448671,Jumping,1
1.329775333,-0.7242951959797246,1.2081092677103238,-0.5013044722581698,10.8124993,Jumping,1
1.339823333,-0.8400535710505731,1.1644763039659203,-0.8310157377281281,11.42309685,Jumping,1
1.349871333,-0.9008794545840739,1.1439434300339555,-1.1246507057235386,11.77421444,Jumping,1
1.359919333,-0.9152164141212665,1.0947758440971032,-1.3923339988594106,11.80033033,Jumping,1
1.369967333,-0.9108743069430825,1.0331351344269946,-1.6497630479996253,11.69043007,Jumping,1
1.380015333,-0.8985470977993908,0.9647291251407848,-1.879578521451789,11.50606119,Jumping,1
1.390063333,-0.8887346330592558,0.9443969887481942,-2.0496491820278786,11.43481163,Jumping,1
1.400111333,-0.8482639425235791,0.934713075991772,-2.161672578958873,11.15643084,Jumping,1
1.410159333,-0.7542486813678219,0.94325562370998,-2.227148052926694,10.55879395,Jumping,1
1.420207333,-0.6605175831981108,0.9537848599752792,-2.2362894534586575,10.00170545,Jumping,1
1.430254333,-0.6141162463875612,0.9293847554594656,-2.210474958830344,9.691787694,Jumping,1
1.440302333,-0.6151022963927752,0.8775957390883018,-2.165856515914418,9.598632754,Jumping,1
1.450350333,-0.6238603059934021,0.8021891667453386,-2.11857192591654,9.518427426,Jumping,1
1.460398333,-0.6213619694196812,0.7404282567924008,-2.0693283831924147,9.413071006,Jumping,1
1.470446333,-0.6377299223102899,0.7068880286262302,-2.010067185237685,9.431326911,Jumping,1
1.480494333,-0.6370837584436859,0.6729939061289997,-1.9361376622988926,9.319204525,Jumping,1
1.490542333,-0.6194002532537105,0.6536068201793446,-1.8545441103402305,9.11185754,Jumping,1
1.500590333,-0.5921328027304068,0.6559247186026738,-1.7764151739539173,8.894956995,Jumping,1
1.510638333,-0.5275527958555167,0.6633437350656399,-1.7085619618046106,8.471061221,Jumping,1
1.520686333,-0.40027848337902644,0.6558045188078397,-1.6373569107587578,7.60241334,Jumping,1
1.530734333,-0.1979358110561314,0.554732210408383,-1.5558779746944238,6.094918249,Jumping,1
1.540782333,0.0831366842320994,0.30468250067245234,-1.4380814347029065,3.838662764,Jumping,1
1.550830333,0.4002821985262326,-0.15020523338622147,-1.2840006437181772,1.132517222,Jumping,1
1.560877333,0.823310607733628,-0.8651955359908967,-1.1318081031990312,3.619737952,Jumping,1
1.570925333,1.3608076800924416,-1.826592239692888,-0.9542570644522564,9.101495531,Jumping,1
1.580973333,1.8503839944492535,-2.6999620111282026,-0.7040264031940721,14.1699296,Jumping,1
1.591021333,2.333898639968076,-3.298159768908702,-0.43740050728225394,18.48731785,Jumping,1
1.661357333,2.6123924237952663,-3.0293060674110186,-0.1974806372924998,19.4711437,Jumping,1
