Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Activity_Jumping,Activity_Walking,Prediction,Activity
100.231,1.0258615649743013,-0.35393703212563055,-0.9017774919896707,8.787,0,1,0,Walking
100.241,1.0795274868400864,-0.341963377579613,-0.8967683895571935,9.205,0,1,0,Walking
100.251,1.1452745996472218,-0.3447657222605958,-0.8914786897018032,9.72,0,1,0,Walking
100.261,1.2185247678810898,-0.36056075591704456,-0.8860333459633903,10.286,0,1,0,Walking
100.271,1.297497605508229,-0.3669297211010965,-0.8805836178902448,10.892,0,1,0,Walking
100.281,1.360319798403248,-0.3655285487606051,-0.8752785728632886,11.391,0,1,0,Walking
100.291,1.404447937946915,-0.36056075591704456,-0.8699954495099976,11.721,0,1,0,Walking
100.301,1.4778252766117448,-0.3441288257421906,-0.8648789308765614,12.277,0,1,0,Walking
100.311,1.5527286604481134,-0.33291944701825926,-0.8598106399251886,12.822,0,1,0,Walking
100.321,1.6226723974769808,-0.32553144740475903,-0.8549418362041682,13.347,0,1,0,Walking
100.331,1.6973214404514263,-0.3236207578495434,-0.8504741991112191,13.929,0,1,0,Walking
