Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Activity_Jumping,Activity_Walking,Prediction,Activity
99.651,1.332723814884586,-0.7633341141564879,-1.0833393697861924,11.4,0,1,0,Walking
99.661,1.2529879546716771,-0.7452462530337804,-1.0758070827148614,10.706,0,1,0,Walking
99.671,1.1554482341241479,-0.7211715646380642,-1.068719805618932,9.873,0,1,0,Walking
99.681,1.0652843985723899,-0.6951861866871324,-1.06204904032264,9.099,0,1,0,Walking
99.691,0.9953406615435226,-0.6700924638619677,-1.0556742176208265,8.485,0,1,0,Walking
99.701,0.929720719167349,-0.6472915685030619,-1.0493191244253117,7.92,0,1,0,Walking
99.711,0.8807601032471419,-0.6303501211134839,-1.042964031229797,7.488,0,1,0,Walking
99.721,0.8445165304230925,-0.6169752942269748,-1.0368106174320013,7.162,0,1,0,Walking
99.731,0.8082729575990433,-0.5972315021564139,-1.0304423712322877,6.832,0,1,0,Walking
99.741,0.776480349858649,-0.5774877100858529,-1.023530467525679,6.539,0,1,0,Walking
99.751,0.7533353314236421,-0.5582534352300161,-1.0162634327056959,6.317,0,1,0,Walking
99.761,0.7356586415199828,-0.5437321946103777,-1.0087245691322653,6.148,0,1,0,Walking
99.771,0.7320978694530588,-0.5308668849385929,-1.0011243248725725,6.091,0,1,0,Walking
99.781,0.7422715039299849,-0.5261538507023945,-0.9938814038936209,6.156,0,1,0,Walking
99.791,0.7792780993398036,-0.5341787468342999,-0.987212830764695,6.455,0,1,0,Walking
99.801,0.8512565632640562,-0.5523939872606884,-0.981280825870917,7.043,0,1,0,Walking
99.811,0.9376052858869667,-0.5762139170490425,-0.9763791396393989,7.753,0,1,0,Walking
99.821,1.0081848750706417,-0.597868398674819,-0.9726765689573622,8.342,0,1,0,Walking
99.831,1.063758353400851,-0.6135360530275867,-0.9701358469795762,8.808,0,1,0,Walking
99.841,1.1122102875972115,-0.6213061905521301,-0.9681497433455175,9.206,0,1,0,Walking
99.851,1.167402254634536,-0.6181217079601042,-0.9658545441127806,9.63,0,1,0,Walking
99.861,1.2391263776968653,-0.6279299143435442,-0.9625356027198834,10.189,0,1,0,Walking
99.871,1.332087962729778,-0.6699650845582868,-0.9581359228152962,10.968,0,1,0,Walking
99.881,1.4113151412188403,-0.7356928052577026,-0.9530325571860591,11.702,0,1,0,Walking
99.891,1.4553161103315457,-0.7930134919141698,-0.9476968218159719,12.164,0,1,0,Walking
99.901,1.453154213005199,-0.8389974205430247,-0.9427644452413227,12.279,0,1,0,Walking
99.911,1.4082630508757625,-0.8653649364049997,-0.9385839820733867,12.05,0,1,0,Walking
99.921,1.3500189934953604,-0.8745362462700345,-0.9352540798436568,11.688,0,1,0,Walking
99.931,1.2847805624120714,-0.8835801768313881,-0.9326870518574726,11.269,0,1,0,Walking
99.941,1.2139466323664732,-0.8932610039111469,-0.9306088771940204,10.809,0,1,0,Walking
99.951,1.1373900329276039,-0.8926241073927418,-0.9288376059618798,10.279,0,1,0,Walking
99.961,1.0771112486518164,-0.8993752104878369,-0.9274872308641092,9.913,0,1,0,Walking
99.971,1.0495152651331545,-0.9093107961749579,-0.9265402145617766,9.795,0,1,0,Walking
99.981,1.0504054581498854,-0.9237046574909151,-0.925946137205452,9.873,0,1,0,Walking
99.991,1.0446827887566146,-0.9254879677424497,-0.9255515470794801,9.84,0,1,0,Walking
100.001,1.0546020823716173,-0.9285450710307946,-0.9256523867783397,9.939,0,1,0,Walking
100.011,1.0729146244300845,-0.9420472772209847,-0.9263670333398222,10.138,0,1,0,Walking
100.021,1.1029268461370167,-0.952747138730192,-0.9275420350482718,10.387,0,1,0,Walking
100.031,1.1363726694799114,-0.9554221041074937,-0.9290436696943317,10.623,0,1,0,Walking
100.041,1.1476908378354918,-0.9480341044939936,-0.9308938589516669,10.689,0,1,0,Walking
100.051,1.1406964641326047,-0.9338950017853982,-0.932967649280386,10.615,0,1,0,Walking
100.061,1.1253088419862542,-0.9151702441442856,-0.9350743221196027,10.469,0,1,0,Walking
100.071,1.0966954950198993,-0.8853634870829227,-0.9369003975359065,10.178,0,1,0,Walking
100.081,1.0498967764260392,-0.846385420156525,-0.9383253063241385,9.716,0,1,0,Walking
100.091,0.9987742631794851,-0.8107192151258341,-0.9393073973043352,9.234,0,1,0,Walking
100.101,0.9489234542425471,-0.7781101133834883,-0.9397874819576011,8.756,0,1,0,Walking
100.111,0.9060670190084956,-0.7409153567086252,-0.9396997952629407,8.301,0,1,0,Walking
100.121,0.881650296263873,-0.6956957039018565,-0.9390114547098563,7.941,0,1,0,Walking
100.131,0.8686789123057922,-0.6435975686963118,-0.9377728801477776,7.66,0,1,0,Walking
100.141,0.8676615488580995,-0.5922637093128533,-0.9359862637440713,7.497,0,1,0,Walking
100.151,0.8810144441090652,-0.5433500566993346,-0.9335858404777421,7.481,0,1,0,Walking
100.161,0.8901707151382986,-0.4990220590183333,-0.9305759946835228,7.478,0,1,0,Walking
100.171,0.8994541565984937,-0.4676867503127978,-0.9270049540434768,7.53,0,1,0,Walking
100.181,0.9106451545231125,-0.4443763377391678,-0.9230371311100922,7.629,0,1,0,Walking
100.191,0.9392585014894672,-0.43087413154897775,-0.9189399703020837,7.895,0,1,0,Walking
100.201,0.9679990188867835,-0.42233971820234817,-0.9147967739793783,8.175,0,1,0,Walking
100.211,0.978426994225633,-0.40527089150908907,-0.9105527379578134,8.306,0,1,0,Walking
100.221,0.9917798894765985,-0.37750220330662265,-0.906284588095217,8.478,0,1,0,Walking
