"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.722090000E-1,-2.709365845E-2,4.949756927E0,8.661887512E0,9.976428368E0
6.822720000E-1,6.451583862E-2,5.028642883E0,8.453371124E0,9.836203277E0
6.923369167E-1,4.355941772E-2,5.053042145E0,8.233927460E0,9.660884729E0
7.023999166E-1,-1.664538574E-1,5.074297943E0,7.985893250E0,9.463123031E0
7.124619166E-1,-3.906875610E-1,5.051395569E0,7.721992035E0,9.235713018E0
7.225249166E-1,-6.562353516E-1,5.001698914E0,7.376061401E0,8.936101983E0
7.325869167E-1,-9.454339600E-1,4.950655060E0,6.956783295E0,8.590673123E0
7.426499167E-1,-1.090332642E0,4.798421631E0,6.461912384E0,8.122191027E0
7.527119167E-1,-1.087787933E0,4.575086060E0,5.849685516E0,7.505565647E0
7.627749166E-1,-9.858499146E-1,4.320914612E0,5.156626740E0,6.799485456E0
7.728369166E-1,-8.101153564E-1,4.017196198E0,4.549189911E0,6.122849094E0
7.828999166E-1,-7.527845764E-1,3.592978363E0,3.701802063E0,5.213397803E0
7.929619167E-1,-9.630972290E-1,3.152743835E0,2.947819977E0,4.422328864E0
8.030249167E-1,-1.334774323E0,2.678080902E0,2.531236267E0,3.919298005E0
8.130869167E-1,-1.815275116E0,2.098037109E0,2.622097321E0,3.817378396E0
8.231499166E-1,-2.498155060E0,1.527274017E0,3.026107178E0,4.210780127E0
8.332119166E-1,-3.259172516E0,1.034199371E0,3.433559875E0,4.845730827E0
8.432749166E-1,-4.077969818E0,5.927673340E-1,3.787723389E0,5.597147436E0
8.533369167E-1,-4.696483612E0,2.430944824E-1,3.939657440E0,6.134896412E0
8.633999167E-1,-4.969066772E0,7.484436035E-3,3.821403351E0,6.268556786E0
8.734619167E-1,-5.016667786E0,-3.538641357E-1,3.524121552E0,6.140977789E0
8.835249166E-1,-5.052144012E0,-7.719447327E-1,3.047362976E0,5.950334352E0
8.935869166E-1,-5.319937134E0,-9.419911194E-1,2.507286072E0,5.956136485E0
9.036499166E-1,-5.930517426E0,-1.008153534E0,2.206711121E0,6.407572431E0
9.137119167E-1,-7.086413727E0,-1.114582214E0,2.442620544E0,7.577991036E0
9.237749167E-1,-8.656349030E0,-1.271455994E0,3.023113403E0,9.256791751E0
9.338369167E-1,-1.021640488E1,-1.486558685E0,3.630999298E0,1.094389973E1
9.438999166E-1,-1.189411606E1,-1.686542816E0,4.055217133E0,1.267908551E1
9.539619166E-1,-1.326885727E1,-1.888772278E0,4.191433868E0,1.404272594E1
9.640249166E-1,-1.382629807E1,-2.026785278E0,4.081712036E0,1.455797891E1
9.740869167E-1,-1.393362488E1,-2.006726990E0,3.895349579E0,1.460638914E1
9.841499167E-1,-1.386521713E1,-1.854942627E0,3.738026733E0,1.447956844E1
9.942119166E-1,-1.361134506E1,-1.716929626E0,3.590583344E0,1.418128522E1
1.004274917E0,-1.340881622E1,-1.583856354E0,3.557053070E0,1.396272108E1
1.014336917E0,-1.329774719E1,-1.443298645E0,3.502865753E0,1.382690348E1
1.024399917E0,-1.320658676E1,-1.298100586E0,3.462300110E0,1.371446394E1
1.034461917E0,-1.320853271E1,-1.143023071E0,3.379671936E0,1.368188659E1
1.044524917E0,-1.311497726E1,-1.123563538E0,3.414998474E0,1.359879547E1
1.054586917E0,-1.351240082E1,-1.298549652E0,3.459006958E0,1.400842376E1
1.064649917E0,-1.421354279E1,-1.517843628E0,3.309916992E0,1.467256618E1
1.074711917E0,-1.450289108E1,-1.737137604E0,3.017125854E0,1.491491017E1
1.084774917E0,-1.453043381E1,-1.785487061E0,2.740501099E0,1.489401950E1
1.094836917E0,-1.439391769E1,-1.641187134E0,2.590063934E0,1.471688802E1
1.104899917E0,-1.414782944E1,-1.453327789E0,2.439926147E0,1.443005471E1
1.114961917E0,-1.396760422E1,-1.266815643E0,2.356399841E0,1.422151221E1
1.125024917E0,-1.418929321E1,-1.088536377E0,2.357447662E0,1.442492679E1
1.135086917E0,-1.451052521E1,-1.048270111E0,2.341730347E0,1.473560019E1
1.145149917E0,-1.464314941E1,-1.166973267E0,2.284848633E0,1.486620949E1
1.155211917E0,-1.487606506E1,-1.315763855E0,2.218536530E0,1.509802804E1
1.165274917E0,-1.511137573E1,-1.385369110E0,2.030078430E0,1.530993607E1
1.175336917E0,-1.513233215E1,-1.296004944E0,1.791474609E0,1.529302084E1
1.185399917E0,-1.504147110E1,-1.146914978E0,1.582958221E0,1.516796043E1
1.195461917E0,-1.490779907E1,-1.025218048E0,1.384770355E0,1.500703616E1
1.205524917E0,-1.480032257E1,-9.848020935E-1,1.289867706E0,1.488902757E1
1.215586917E0,-1.480975296E1,-1.046473846E0,1.206341400E0,1.489560841E1
1.225649917E0,-1.500629425E1,-1.110390930E0,1.154100037E0,1.509151358E1
1.235711917E0,-1.532123932E1,-1.082399139E0,1.188678131E0,1.540535355E1
1.245774917E0,-1.555744812E1,-9.300160217E-1,1.259480896E0,1.563602935E1
1.255836917E0,-1.581476303E1,-6.935078430E-1,1.370400238E0,1.588916863E1
1.265899917E0,-1.602642288E1,-3.838018799E-1,1.659000092E0,1.611663165E1
1.275961917E0,-1.585697525E1,-3.787124634E-2,1.752854919E0,1.595360770E1
1.286024917E0,-1.527753021E1,3.121009827E-1,1.640438690E0,1.536851898E1
1.296086917E0,-1.433943100E1,5.508544922E-1,1.434467010E0,1.442152619E1
1.306149917E0,-1.340058334E1,8.167016602E-1,1.368454285E0,1.349501029E1
1.316211917E0,-1.266411484E1,1.136586456E0,1.313368835E0,1.278266682E1
1.326274917E0,-1.214753906E1,1.468596039E0,1.356479187E0,1.231095103E1
1.336336917E0,-1.171299271E1,1.759291534E0,1.545835419E0,1.194482783E1
1.346399917E0,-1.120794296E1,2.082918549E0,1.834135895E0,1.154645355E1
1.356461917E0,-1.056907150E1,2.423011322E0,1.940265198E0,1.101548389E1
1.366524917E0,-1.005459137E1,2.878364410E0,2.268233185E0,1.070162002E1
1.376586917E0,-9.496402130E0,3.184328156E0,2.192939758E0,1.025332063E1
1.386649917E0,-9.108109589E0,3.333567810E0,2.034569092E0,9.910086075E0
1.396711917E0,-8.883426819E0,3.241060181E0,1.573527832E0,9.586226212E0
1.406773917E0,-8.748706970E0,3.001408539E0,1.009800110E0,9.304193846E0
1.416836917E0,-8.671168213E0,2.769241333E0,7.105723572E-1,9.130321397E0
1.426899917E0,-8.606053619E0,2.623594208E0,4.423301697E-1,9.007944352E0
1.436961917E0,-8.465795288E0,2.594704285E0,4.276606750E-1,8.864822268E0
1.447023917E0,-8.298892365E0,2.585573273E0,5.322930908E-1,8.708624436E0
1.457086917E0,-8.105494537E0,2.632575531E0,6.918612671E-1,8.550331434E0
1.467148917E0,-7.919581146E0,2.665656738E0,8.131091309E-1,8.395632069E0
1.477211917E0,-7.701334991E0,2.630330200E0,8.520281982E-1,8.182612643E0
1.487273917E0,-7.551047516E0,2.549797668E0,9.348060608E-1,8.024565353E0
1.497336917E0,-7.517367554E0,2.426454163E0,9.657916260E-1,7.958093252E0
1.507398917E0,-7.524851990E0,2.325114899E0,1.049168243E0,7.945458499E0
1.517461917E0,-7.550299072E0,2.303410034E0,1.226848755E0,7.988608873E0
1.527523917E0,-7.729326782E0,2.293829956E0,1.378782806E0,8.179559304E0
1.537586917E0,-8.076604614E0,2.230960693E0,1.560804291E0,8.523194105E0
1.547648917E0,-8.489296417E0,2.110910339E0,1.726809082E0,8.916611785E0
1.557711917E0,-8.857830048E0,2.031874695E0,1.760339355E0,9.256806284E0
1.567773917E0,-9.144184570E0,2.054926758E0,1.686692505E0,9.522802478E0
1.577836917E0,-9.365873566E0,2.162552948E0,1.596130829E0,9.743913820E0
1.587898917E0,-9.448801117E0,2.302212524E0,1.558109894E0,9.849250301E0
1.597961917E0,-9.414223022E0,2.412233734E0,1.542991333E0,9.840085821E0
1.608023917E0,-9.279054108E0,2.540367279E0,1.547032928E0,9.744107036E0
1.618086917E0,-9.219028931E0,2.798879700E0,1.612895966E0,9.768605601E0
1.628148917E0,-9.425299988E0,3.165018311E0,1.801204376E0,1.010435342E1
1.638211917E0,-9.845476227E0,3.537743225E0,2.140399017E0,1.067849883E1
1.648273917E0,-1.035471725E1,3.811374207E0,2.572400665E0,1.132978323E1
1.658336917E0,-1.131033005E1,4.028422852E0,2.918031921E0,1.235583533E1
1.668398917E0,-1.252116211E1,3.999083862E0,3.219355316E0,1.353279058E1
1.678461917E0,-1.373603577E1,3.726201324E0,3.445984039E0,1.464370380E1
1.688523917E0,-1.462473770E1,3.300486603E0,3.473227386E0,1.538958976E1
1.698583125E0,-1.486947876E1,2.836301880E0,3.240760803E0,1.548058583E1
1.708645125E0,-1.483340378E1,2.530338135E0,3.171305237E0,1.537822017E1
1.718708125E0,-1.494971191E1,2.243833923E0,3.141666870E0,1.544016670E1
1.728770125E0,-1.519355484E1,1.761686554E0,3.036136322E0,1.559377350E1
1.738833125E0,-1.556957291E1,1.177900543E0,3.014431458E0,1.590238495E1
1.748895125E0,-1.594409409E1,6.518943787E-1,3.073259125E0,1.625066227E1
1.758958125E0,-1.629017441E1,1.550775146E-1,3.127596130E0,1.658842032E1
1.769020125E0,-1.666544403E1,-2.808160400E-1,3.138822784E0,1.696078096E1
