"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.588376250E-1,-8.907975769E-1,7.123536530E0,5.625751190E0,9.120711017E0
6.687976250E-1,-9.298663330E-1,7.047644348E0,5.771098938E0,9.156392587E0
6.787566250E-1,-8.867559814E-1,6.988816681E0,5.959107971E0,9.227180641E0
6.887156250E-1,-8.111631775E-1,6.937922516E0,6.124963074E0,9.290205982E0
6.986746250E-1,-7.629634094E-1,6.922953644E0,6.191275177E0,9.318867347E0
7.086346250E-1,-7.777825928E-1,6.922654266E0,6.165229340E0,9.302587848E0
7.185936250E-1,-8.428971863E-1,6.923402710E0,6.105952606E0,9.269662237E0
7.285526250E-1,-9.410929871E-1,6.945107574E0,6.032156067E0,9.247003950E0
7.385116250E-1,-1.088386688E0,6.975943451E0,5.926775208E0,9.218190548E0
7.484706250E-1,-1.295555878E0,7.032974854E0,5.820496216E0,9.220595237E0
7.584306250E-1,-1.562750244E0,7.119644623E0,5.745053101E0,9.281010883E0
7.683896250E-1,-1.783241730E0,7.215894470E0,5.710924072E0,9.373565908E0
7.783486250E-1,-1.938618622E0,7.323071594E0,5.732329559E0,9.499748518E0
7.883076250E-1,-2.035766602E0,7.450157318E0,5.837111664E0,9.680963914E0
7.982676250E-1,-2.046843567E0,7.565267944E0,5.994883575E0,9.867191938E0
8.082266250E-1,-1.971101074E0,7.637118530E0,6.170767822E0,1.001444928E1
8.181856250E-1,-1.876647491E0,7.606432343E0,6.377937012E0,1.010236108E1
8.281446250E-1,-1.814227295E0,7.528743896E0,6.638545074E0,1.020018069E1
8.381036250E-1,-1.647174683E0,7.380701752E0,6.888375549E0,1.022925513E1
8.480636250E-1,-1.423689423E0,7.147337036E0,7.081773376E0,1.016183214E1
8.580226250E-1,-1.238225098E0,6.901997223E0,7.314389648E0,1.013267304E1
8.679816250E-1,-1.018032990E0,6.684050446E0,7.555089111E0,1.013865341E1
8.779406250E-1,-8.819659424E-1,6.506369934E0,7.792645111E0,1.018999664E1
8.879006250E-1,-8.098159790E-1,6.383325806E0,8.061935120E0,1.031491387E1
8.978596250E-1,-7.680528259E-1,6.322552185E0,8.287066956E0,1.045179650E1
9.078186250E-1,-7.261399841E-1,6.331383820E0,8.446934509E0,1.058132331E1
9.177776250E-1,-7.566764832E-1,6.386469269E0,8.480464783E0,1.064320591E1
9.277366250E-1,-8.770262146E-1,6.467450867E0,8.459059296E0,1.068423043E1
9.376966250E-1,-9.283694458E-1,6.566095734E0,8.399333496E0,1.070160204E1
9.476556250E-1,-9.491761780E-1,6.685247955E0,8.278534698E0,1.068305258E1
9.576146250E-1,-9.818083191E-1,6.778803406E0,8.131839752E0,1.063216539E1
