Total Sec,Difference in time(sec),Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
,,0.00,0.00,0.00,0.00,0.00
0.030,0.03,0.03,-2.32,4.10,5.18,7.00
0.040,0.01,0.04,-2.08,4.01,5.54,7.15
0.050,0.0099,0.05,-1.97,4.41,5.72,7.49
0.060,0.01,0.06,-1.97,4.84,5.77,7.78
0.070,0.0099,0.07,-1.95,5.12,5.80,7.98
0.080,0.0099,0.08,-1.88,5.28,5.92,8.15
0.090,0.01,0.09,-1.84,5.39,6.17,8.39
0.100,0.0099,0.10,-1.82,5.47,6.46,8.66
0.110,0.0104,0.11,-1.85,5.49,6.74,8.89
0.119,0.009,0.12,-1.93,5.59,6.97,9.14
0.129,0.01,0.13,-2.00,5.79,7.10,9.38
0.139,0.01,0.14,-2.03,5.99,7.20,9.58
0.149,0.01,0.15,-2.06,6.15,7.32,9.78
0.159,0.01,0.16,-2.07,6.30,7.47,9.99
0.169,0.01,0.17,-2.17,6.42,7.65,10.20
0.179,0.01,0.18,-2.37,6.61,7.94,10.60
0.189,0.01,0.19,-2.62,6.91,8.39,11.20
0.199,0.01,0.20,-2.96,7.11,9.04,11.90
0.209,0.01,0.21,-3.31,6.99,9.80,12.50
0.219,0.01,0.22,-3.62,6.73,10.50,13.00
0.229,0.01,0.23,-3.76,6.56,11.10,13.40
0.239,0.01,0.24,-3.78,6.52,11.30,13.60
0.249,0.01,0.25,-3.77,6.65,11.10,13.50
0.259,0.01,0.26,-3.77,6.69,10.70,13.20
0.268,0.009,0.27,-3.84,6.72,10.40,12.90
0.278,0.01,0.28,-3.88,6.68,10.20,12.80
0.288,0.01,0.29,-3.85,6.50,10.00,12.60
0.298,0.01,0.30,-3.67,6.44,9.62,12.10
0.308,0.01,0.31,-3.41,6.56,8.85,11.50
0.318,0.01,0.32,-3.26,6.65,8.28,11.10
0.328,0.01,0.33,-3.57,6.37,8.02,10.90
0.338,0.01,0.34,-4.31,5.82,8.32,11.00
0.348,0.01,0.35,-5.10,5.23,9.07,11.60
0.358,0.01,0.36,-5.65,4.79,10.00,12.40
0.368,0.01,0.37,-5.97,4.39,10.60,12.90
0.378,0.01,0.38,-5.94,4.06,10.70,12.90
0.388,0.01,0.39,-5.49,4.22,10.20,12.30
0.398,0.01,0.40,-4.87,4.66,9.35,11.50
0.408,0.01,0.41,-4.42,4.97,8.71,11.00
0.417,0.009,0.42,-4.02,5.17,8.33,10.60
0.427,0.01,0.43,-3.75,5.10,8.13,10.30
0.437,0.01,0.44,-3.55,4.80,7.80,9.82
0.447,0.01,0.45,-3.15,4.49,7.16,9.02
0.457,0.01,0.46,-2.60,4.24,6.49,8.18
0.467,0.01,0.47,-1.96,4.22,5.89,7.51
0.477,0.01,0.48,-1.54,4.07,5.36,6.91
0.487,0.01,0.49,-1.29,4.04,5.00,6.56
0.497,0.01,0.50,-1.07,3.72,5.14,6.43
0.507,0.01,0.51,-0.85,2.47,6.04,6.58
0.517,0.01,0.52,-1.17,3.01,4.99,5.94
0.527,0.01,0.53,-0.97,4.27,4.86,6.54
0.537,0.01,0.54,-0.37,3.70,5.30,6.47
0.547,0.01,0.55,-0.47,3.72,4.85,6.13
0.557,0.01,0.56,-0.65,4.06,4.87,6.38
0.566,0.009,0.57,-0.50,3.97,5.32,6.65
0.576,0.01,0.58,-0.77,4.15,5.26,6.75
0.586,0.01,0.59,-0.82,3.81,5.83,7.02
0.596,0.01,0.60,-0.55,3.66,6.01,7.06
0.606,0.01,0.61,-0.32,3.84,5.98,7.11
0.616,0.01,0.62,-0.03,4.13,5.99,7.28
0.626,0.01,0.63,0.22,4.55,6.06,7.58
0.636,0.01,0.64,0.37,4.90,6.28,7.98
0.646,0.01,0.65,0.31,5.04,6.39,8.15
0.656,0.01,0.66,0.02,4.96,6.74,8.37
0.666,0.01,0.67,-0.27,5.15,7.60,9.19
0.676,0.01,0.68,-0.31,5.52,8.61,10.20
0.686,0.01,0.69,-0.26,5.73,9.68,11.30
0.696,0.01,0.70,-0.34,5.56,10.50,11.90
0.706,0.01,0.71,-0.35,5.18,10.80,12.00
0.715,0.009,0.72,-0.32,4.96,10.90,12.00
0.725,0.01,0.73,-0.14,5.18,11.00,12.10
0.735,0.01,0.74,0.19,5.45,11.20,12.40
0.745,0.01,0.75,0.39,5.57,11.30,12.60
0.755,0.01,0.76,0.57,5.56,11.40,12.70
0.765,0.01,0.77,0.94,5.57,11.70,13.00
0.775,0.01,0.78,1.52,5.72,11.90,13.30
0.785,0.01,0.79,2.03,5.95,11.80,13.30
0.795,0.01,0.80,2.20,6.09,11.30,13.00
0.805,0.01,0.81,2.08,5.96,11.10,12.80
0.815,0.01,0.82,1.86,5.80,11.30,12.90
0.825,0.01,0.83,1.65,5.61,11.60,13.00
0.835,0.01,0.84,1.29,5.00,11.70,12.80
0.845,0.01,0.85,1.06,4.59,11.80,12.70
0.855,0.01,0.86,0.76,4.20,11.80,12.50
0.864,0.009,0.86,0.37,3.66,11.80,12.30
0.874,0.01,0.87,0.15,3.18,11.60,12.10
0.884,0.01,0.88,0.04,2.79,11.30,11.60
0.894,0.01,0.89,-0.04,2.55,10.70,11.00
0.904,0.01,0.90,-0.17,2.47,10.00,10.30
0.914,0.01,0.91,-0.57,2.50,9.98,10.30
0.924,0.01,0.92,-1.21,2.67,10.70,11.10
0.934,0.01,0.93,-1.56,3.09,10.30,10.90
0.944,0.01,0.94,-2.21,3.33,10.50,11.20
0.954,0.01,0.95,-3.06,3.44,11.20,12.10
0.964,0.01,0.96,-3.56,3.51,10.80,11.90
0.974,0.01,0.97,-3.57,3.24,9.37,10.50
0.984,0.01,0.98,-3.41,2.50,7.88,8.94
0.994,0.01,0.99,-3.06,1.88,6.56,7.48
1.000,0.006,1.00,-2.53,1.61,5.46,6.23
1.010,0.01,1.01,-2.03,1.85,4.77,5.50
1.020,0.01,1.02,-1.70,2.25,4.33,5.17
1.030,0.01,1.03,-1.64,2.55,4.19,5.17
1.040,0.01,1.04,-1.71,2.98,4.00,5.27
1.050,0.01,1.05,-1.69,3.37,3.80,5.35
1.060,0.01,1.06,-1.51,3.70,3.67,5.43
1.070,0.01,1.07,-1.05,3.03,3.88,5.03
1.080,0.01,1.08,-1.08,2.64,3.44,4.47
1.090,0.01,1.09,-1.23,2.91,3.58,4.78
1.100,0.01,1.10,-1.40,2.89,4.88,5.84
1.110,0.01,1.11,-2.08,2.94,5.45,6.53
1.120,0.01,1.12,-2.90,3.17,5.84,7.25
1.130,0.01,1.13,-3.38,3.44,6.31,7.94
1.140,0.01,1.14,-3.10,4.16,6.85,8.59
1.150,0.01,1.15,-2.87,4.87,6.60,8.68
1.160,0.01,1.16,-3.00,5.29,6.50,8.90
1.170,0.01,1.17,-3.31,5.59,6.27,9.03
1.180,0.01,1.18,-3.93,5.71,6.97,9.83
1.190,0.01,1.19,-4.61,5.63,8.45,11.10
1.200,0.01,1.20,-4.86,5.57,9.81,12.30
1.210,0.01,1.21,-4.86,5.42,10.40,12.70
1.220,0.01,1.22,-5.05,4.87,10.70,12.80
1.230,0.01,1.23,-5.20,3.82,11.10,12.90
1.240,0.01,1.24,-5.37,4.01,11.40,13.20
1.250,0.01,1.25,-5.27,4.28,12.10,13.80
1.260,0.01,1.26,-5.30,4.32,12.30,14.10
1.270,0.01,1.27,-5.20,4.22,12.30,14.00
1.280,0.01,1.28,-4.76,4.09,12.00,13.60
1.290,0.01,1.29,-4.35,4.06,11.90,13.30
1.300,0.01,1.30,-4.22,4.02,12.10,13.50
1.310,0.01,1.31,-4.21,4.03,12.10,13.50
1.320,0.01,1.32,-3.94,3.21,12.20,13.20
1.330,0.01,1.33,-3.81,2.93,11.90,12.80
1.340,0.01,1.34,-3.49,3.07,11.50,12.40
1.350,0.01,1.35,-3.58,3.24,11.40,12.40
1.360,0.01,1.36,-4.12,3.48,11.80,13.00
1.370,0.01,1.37,-4.35,3.53,12.00,13.20
1.380,0.01,1.38,-4.29,3.44,11.80,13.00
1.390,0.01,1.39,-4.20,3.19,11.70,12.80
1.400,0.01,1.40,-3.92,2.93,11.30,12.30
1.410,0.01,1.41,-3.43,2.96,10.40,11.30
1.420,0.01,1.42,-2.88,3.13,9.37,10.30
1.430,0.01,1.43,-2.14,3.11,9.12,9.87
1.440,0.01,1.44,-2.06,3.36,9.31,10.10
1.450,0.01,1.45,-2.79,3.70,8.70,9.85
1.460,0.01,1.46,-3.36,3.93,8.19,9.69
1.470,0.01,1.47,-3.88,4.31,8.29,10.10
1.480,0.01,1.48,-4.17,4.44,8.75,10.70
1.490,0.01,1.49,-4.01,4.03,8.29,10.10
1.500,0.01,1.50,-2.72,2.41,8.18,8.95
1.510,0.01,1.51,-1.36,0.81,8.14,8.30
1.520,0.01,1.52,-0.92,0.22,7.12,7.18
1.530,0.01,1.53,-0.61,0.30,6.17,6.21
1.540,0.01,1.54,0.13,0.69,5.33,5.38
1.550,0.01,1.55,1.30,1.64,4.06,4.56
1.560,0.01,1.56,0.90,2.14,5.34,5.82
1.570,0.01,1.57,1.34,1.14,5.91,6.17
1.580,0.01,1.58,2.11,0.36,5.31,5.72
1.590,0.01,1.59,0.80,0.88,4.39,4.55
1.600,0.01,1.60,-0.27,1.38,4.33,4.56
1.610,0.01,1.61,-1.56,2.54,4.34,5.27
1.620,0.01,1.62,-1.49,3.88,5.38,6.80
1.630,0.01,1.63,-0.60,4.87,5.50,7.37
1.640,0.01,1.64,-0.12,5.16,5.21,7.33
1.650,0.01,1.65,0.13,4.36,4.92,6.57
1.660,0.01,1.66,0.08,3.42,5.64,6.60
1.670,0.01,1.67,-0.08,2.84,6.64,7.22
1.680,0.01,1.68,-0.12,2.75,7.16,7.67
1.690,0.01,1.69,0.03,2.72,7.67,8.14
1.700,0.01,1.70,0.24,2.41,8.23,8.58
1.710,0.01,1.71,0.24,2.04,8.54,8.78
1.720,0.01,1.72,0.17,1.81,8.90,9.08
1.730,0.01,1.73,0.13,1.57,9.47,9.60
1.740,0.01,1.74,0.26,1.23,10.50,10.60
1.750,0.01,1.75,0.56,1.22,12.00,12.10
1.760,0.01,1.76,0.73,1.17,13.20,13.30
1.770,0.01,1.77,0.79,0.89,13.80,13.80
1.780,0.01,1.78,1.03,0.93,14.00,14.10
1.790,0.01,1.79,1.06,1.63,14.00,14.10
1.800,0.01,1.80,0.64,2.63,14.10,14.40
1.810,0.01,1.81,0.30,3.52,14.40,14.80
1.820,0.01,1.82,0.45,3.95,14.60,15.10
1.830,0.01,1.83,0.84,3.97,15.20,15.70
1.840,0.01,1.84,1.23,3.86,15.20,15.70
1.850,0.01,1.85,1.48,3.77,14.80,15.40
1.860,0.01,1.86,1.67,3.39,14.80,15.30
1.870,0.01,1.87,1.87,2.50,15.00,15.30
1.880,0.01,1.88,1.82,1.50,15.20,15.40
1.890,0.01,1.89,1.65,0.69,15.10,15.20
1.900,0.01,1.90,1.56,0.25,14.50,14.60
1.910,0.01,1.91,1.40,0.02,13.80,13.80
1.920,0.01,1.92,1.17,-0.15,13.30,13.40
1.930,0.01,1.93,1.47,-0.56,12.90,13.00
1.940,0.01,1.94,1.27,-0.57,12.60,12.70
1.950,0.01,1.95,0.99,-0.56,11.90,11.90
1.960,0.01,1.96,0.87,-0.48,10.90,10.90
1.970,0.01,1.97,0.74,-0.40,9.90,9.94
1.980,0.01,1.98,0.98,-0.97,10.00,10.10
1.990,0.01,1.99,1.54,-1.30,9.67,9.88
2.000,0.01,2.00,1.52,-0.50,8.70,8.85
2.010,0.01,2.01,0.48,-0.37,7.56,7.59
2.020,0.01,2.02,-0.27,-0.22,5.80,5.81
2.030,0.01,2.03,-0.57,0.27,5.57,5.60
2.040,0.01,2.04,-0.75,0.63,5.38,5.47
2.050,0.01,2.05,-1.00,0.87,5.06,5.23
2.060,0.01,2.06,-1.12,0.74,5.32,5.48
2.070,0.01,2.07,-1.36,1.47,5.03,5.41
2.080,0.01,2.08,-1.06,2.22,4.40,5.04
2.090,0.01,2.09,-0.65,2.24,4.37,4.95
2.100,0.01,2.10,-0.48,2.27,4.21,4.81
2.110,0.01,2.11,-0.23,2.48,4.36,5.02
2.120,0.01,2.12,-0.21,3.01,4.61,5.51
2.130,0.01,2.13,-0.17,2.90,4.40,5.27
2.140,0.01,2.14,0.38,2.71,4.33,5.12
2.150,0.01,2.15,0.76,2.98,4.67,5.59
2.160,0.01,2.16,0.91,2.88,4.74,5.63
2.170,0.01,2.17,0.64,2.97,4.50,5.43
2.180,0.01,2.18,0.96,2.73,5.86,6.54
2.190,0.01,2.19,0.79,3.02,6.74,7.43
2.200,0.01,2.20,0.95,2.45,7.43,7.88
2.210,0.01,2.21,1.40,1.41,8.08,8.32
2.220,0.01,2.22,2.18,1.21,8.46,8.82
2.230,0.01,2.23,3.14,1.20,8.71,9.34
2.240,0.01,2.24,3.91,0.99,9.31,10.10
2.250,0.01,2.25,4.73,1.34,10.40,11.50
2.260,0.01,2.26,5.90,1.88,10.00,11.80
2.270,0.01,2.27,7.18,1.99,8.67,11.40
2.280,0.01,2.28,8.19,2.50,8.45,12.00
2.290,0.01,2.29,8.78,3.39,8.95,13.00
2.290,0,2.29,8.59,4.43,9.38,13.50
2.300,0.01,2.30,8.27,4.76,9.35,13.40
2.310,0.01,2.31,7.92,4.83,9.39,13.20
2.320,0.01,2.32,7.39,5.43,10.10,13.70
2.330,0.01,2.33,6.91,5.71,10.50,13.80
2.340,0.01,2.34,6.66,5.76,10.30,13.60
2.350,0.01,2.35,6.18,5.80,10.10,13.20
2.360,0.01,2.36,5.69,5.39,10.40,13.10
2.370,0.01,2.37,5.66,5.14,11.20,13.60
2.380,0.01,2.38,5.08,6.10,11.60,14.10
2.390,0.01,2.39,4.38,5.80,11.00,13.20
2.400,0.01,2.40,4.38,5.21,11.30,13.20
2.410,0.01,2.41,4.00,6.22,12.10,14.20
2.420,0.01,2.42,4.02,5.88,12.80,14.60
2.430,0.01,2.43,4.68,4.28,12.30,13.80
2.440,0.01,2.44,5.75,2.88,12.30,13.90
2.450,0.01,2.45,5.89,1.69,12.20,13.60
2.460,0.01,2.46,5.92,1.49,11.50,13.00
2.470,0.01,2.47,5.64,2.77,10.90,12.50
2.480,0.01,2.48,5.17,3.67,10.30,12.10
2.490,0.01,2.49,5.04,3.42,9.57,11.30
2.500,0.01,2.50,5.04,3.15,9.22,11.00
2.510,0.01,2.51,4.86,2.64,8.83,10.40
2.520,0.01,2.52,4.58,2.06,8.16,9.58
2.530,0.01,2.53,4.07,1.92,7.22,8.51
2.540,0.01,2.54,3.86,1.52,6.86,8.02
2.550,0.01,2.55,4.01,0.93,6.72,7.88
2.560,0.01,2.56,3.82,0.77,6.12,7.26
2.570,0.01,2.57,3.48,0.21,5.62,6.62
2.580,0.01,2.58,3.53,1.69,5.38,6.65
2.590,0.01,2.59,3.52,2.30,5.33,6.79
2.600,0.01,2.60,3.19,1.96,4.92,6.18
2.610,0.01,2.61,3.27,1.69,4.84,6.08
2.620,0.01,2.62,3.69,2.00,5.01,6.54
2.630,0.01,2.63,3.23,2.48,4.68,6.20
2.640,0.01,2.64,2.80,2.17,3.83,5.22
2.650,0.01,2.65,2.97,1.93,3.20,4.77
2.660,0.01,2.66,2.71,2.35,3.28,4.86
2.670,0.01,2.67,2.66,2.87,3.66,5.36
2.680,0.01,2.68,3.05,3.18,4.04,5.97
2.690,0.01,2.69,3.28,3.19,4.66,6.53
2.700,0.01,2.70,3.63,3.25,5.33,7.22
2.710,0.01,2.71,3.75,3.54,5.54,7.57
2.720,0.01,2.72,3.82,3.44,5.13,7.27
2.730,0.01,2.73,4.06,2.94,4.71,6.88
2.740,0.01,2.74,4.48,2.25,4.96,7.05
2.750,0.01,2.75,4.41,1.88,4.86,6.82
2.760,0.01,2.76,4.91,1.03,5.31,7.31
2.770,0.01,2.77,5.92,0.85,6.14,8.58
2.780,0.01,2.78,6.36,1.64,7.32,9.84
2.790,0.01,2.79,6.88,1.73,8.46,11.00
2.800,0.01,2.80,7.11,1.64,9.00,11.60
2.810,0.01,2.81,7.18,1.48,9.45,12.00
2.820,0.01,2.82,7.91,0.87,9.90,12.70
2.830,0.01,2.83,8.41,0.03,9.87,13.00
2.840,0.01,2.84,8.24,-0.64,10.10,13.00
2.850,0.01,2.85,7.94,-0.41,10.30,13.00
2.860,0.01,2.86,7.67,0.39,10.60,13.10
2.870,0.01,2.87,8.10,0.66,11.20,13.80
2.880,0.01,2.88,8.50,0.90,11.20,14.10
2.890,0.01,2.89,8.83,0.95,11.60,14.60
2.900,0.01,2.90,9.23,0.73,11.60,14.80
2.910,0.01,2.91,9.05,-0.27,11.40,14.60
2.920,0.01,2.92,9.19,-0.81,12.00,15.20
2.930,0.01,2.93,9.58,-0.73,11.80,15.20
2.940,0.01,2.94,9.72,-0.45,12.10,15.50
2.950,0.01,2.95,10.10,-0.06,10.90,14.80
2.960,0.01,2.96,10.60,0.32,9.32,14.20
2.970,0.01,2.97,11.10,0.77,7.87,13.70
2.980,0.01,2.98,11.40,1.07,6.79,13.30
2.990,0.01,2.99,11.30,1.23,6.24,13.00
3.000,0.01,3.00,10.90,1.27,6.76,12.90
3.010,0.01,3.01,10.30,0.98,7.09,12.50
3.020,0.01,3.02,9.37,0.86,7.00,11.70
3.030,0.01,3.03,8.31,1.02,6.93,10.90
3.040,0.01,3.04,7.54,1.19,6.59,10.10
3.050,0.01,3.05,7.10,1.27,5.89,9.32
3.060,0.01,3.06,6.04,1.30,5.19,8.07
3.070,0.01,3.07,5.52,1.72,3.78,6.91
3.080,0.01,3.08,4.93,1.77,3.62,6.36
3.090,0.01,3.09,4.30,1.75,3.47,5.80
3.100,0.01,3.10,3.83,1.88,3.42,5.47
3.110,0.01,3.11,3.46,2.11,3.49,5.35
3.120,0.01,3.12,3.28,2.22,3.36,5.19
3.130,0.01,3.13,3.17,2.51,2.93,4.99
3.140,0.01,3.14,3.25,3.03,2.37,5.04
3.150,0.01,3.15,3.67,3.48,1.86,5.39
3.160,0.01,3.16,4.28,3.56,1.82,5.86
3.170,0.01,3.17,4.75,3.61,1.92,6.27
3.180,0.01,3.18,5.20,3.67,2.34,6.78
3.190,0.01,3.19,5.33,3.94,3.07,7.30
3.200,0.01,3.20,5.33,4.62,3.73,7.98
3.210,0.01,3.21,5.53,4.70,4.31,8.44
3.220,0.01,3.22,5.63,4.92,4.96,8.97
3.230,0.01,3.23,5.89,5.27,5.60,9.69
3.240,0.01,3.24,6.26,5.35,6.12,10.30
3.250,0.01,3.25,6.43,5.58,6.45,10.70
3.260,0.01,3.26,6.83,5.42,6.55,10.90
3.270,0.01,3.27,7.15,5.41,6.48,11.10
3.280,0.01,3.28,7.62,5.32,6.36,11.30
3.290,0.01,3.29,8.25,4.92,6.45,11.60
3.300,0.01,3.30,8.52,5.00,6.57,11.90
3.310,0.01,3.31,8.36,5.10,6.14,11.60
3.320,0.01,3.32,8.59,5.18,6.42,11.90
3.330,0.01,3.33,8.58,5.52,6.74,12.20
3.340,0.01,3.34,8.53,5.36,7.05,12.30
3.350,0.01,3.35,8.33,5.23,7.34,12.30
3.360,0.01,3.36,8.21,4.92,7.90,12.40
3.370,0.01,3.37,8.23,4.24,8.51,12.60
3.380,0.01,3.38,7.95,4.40,8.92,12.70
3.390,0.01,3.39,7.97,4.67,9.97,13.60
3.400,0.01,3.40,8.05,4.38,10.60,14.00
3.410,0.01,3.41,5.40,5.44,7.89,11.00
3.420,0.01,3.42,4.55,4.87,8.60,10.90
3.430,0.01,3.43,4.74,4.54,8.46,10.70
3.440,0.01,3.44,3.92,4.50,9.09,10.90
3.450,0.01,3.45,3.60,4.48,9.50,11.10
3.460,0.01,3.46,4.01,3.61,8.88,10.40
3.470,0.01,3.47,4.26,3.07,8.95,10.40
3.480,0.01,3.48,4.78,2.75,9.71,11.20
3.490,0.01,3.49,4.97,2.44,9.81,11.30
3.500,0.01,3.50,4.91,2.19,9.69,11.10
3.510,0.01,3.51,4.94,1.94,9.22,10.60
3.520,0.01,3.52,4.93,1.63,8.84,10.30
3.530,0.01,3.53,4.90,1.37,8.45,9.86
3.540,0.01,3.54,4.77,1.08,7.90,9.29
3.550,0.01,3.55,4.62,0.87,7.34,8.71
3.560,0.01,3.56,4.56,0.72,6.68,8.12
3.570,0.01,3.57,4.50,0.59,6.05,7.56
3.580,0.01,3.58,4.44,0.31,5.31,6.93
3.590,0.01,3.59,4.34,0.30,4.56,6.31
3.600,0.01,3.60,4.17,0.22,4.00,5.78
3.610,0.01,3.61,4.00,-0.23,3.52,5.33
3.620,0.01,3.62,3.90,-0.62,3.04,4.99
3.630,0.01,3.63,3.59,0.19,2.96,4.66
3.640,0.01,3.64,3.48,0.18,2.85,4.51
3.650,0.01,3.65,3.78,-0.29,2.07,4.32
3.660,0.01,3.66,3.96,-0.57,1.29,4.20
3.670,0.01,3.67,3.87,-0.72,1.14,4.10
3.680,0.01,3.68,3.71,-0.69,1.02,3.90
3.690,0.01,3.69,3.50,-0.50,1.00,3.68
3.700,0.01,3.70,3.20,-0.56,0.93,3.38
3.710,0.01,3.71,2.91,-0.91,0.74,3.14
3.720,0.01,3.72,2.73,-0.91,0.72,2.97
3.730,0.01,3.73,2.73,-0.76,0.40,2.86
3.740,0.01,3.74,2.88,-0.76,-0.20,2.98
3.750,0.01,3.75,3.14,-0.98,-1.03,3.44
3.760,0.01,3.76,3.34,-0.86,-1.48,3.76
3.770,0.01,3.77,3.58,-0.88,-1.62,4.03
3.780,0.01,3.78,4.17,-1.40,-1.77,4.74
3.780,0,3.78,5.00,-1.57,-1.37,5.42
3.790,0.01,3.79,6.04,-1.67,-1.18,6.37
3.800,0.01,3.80,7.37,-2.43,-1.61,7.92
3.810,0.01,3.81,8.66,-3.11,-1.41,9.31
3.820,0.01,3.82,9.67,-3.52,-0.82,10.30
3.830,0.01,3.83,10.50,-4.39,-1.13,11.50
3.840,0.01,3.84,11.30,-5.38,-1.32,12.60
3.850,0.01,3.85,12.20,-6.13,-0.91,13.70
3.860,0.01,3.86,12.90,-6.66,-0.90,14.60
3.870,0.01,3.87,13.80,-7.57,-1.90,15.80
3.880,0.01,3.88,14.50,-8.09,-1.85,16.70
3.890,0.01,3.89,14.80,-8.32,-1.72,17.10
3.900,0.01,3.90,15.20,-8.79,-2.07,17.70
3.910,0.01,3.91,15.80,-9.65,-2.99,18.80
3.920,0.01,3.92,16.10,-9.81,-2.66,19.00
3.930,0.01,3.93,16.10,-9.77,-2.00,18.90
3.940,0.01,3.94,16.40,-9.97,-1.58,19.30
3.950,0.01,3.95,16.80,-10.40,-1.03,19.80
3.960,0.01,3.96,17.10,-10.50,-0.51,20.10
3.970,0.01,3.97,17.00,-10.00,-0.05,19.80
3.980,0.01,3.98,16.80,-9.45,0.57,19.30
3.990,0.01,3.99,16.70,-9.20,1.25,19.10
4.000,0.01,4.00,16.40,-9.03,1.58,18.80
4.010,0.01,4.01,15.80,-8.31,1.28,17.90
4.020,0.01,4.02,15.30,-7.44,0.47,17.00
4.030,0.01,4.03,14.90,-6.73,-0.38,16.30
4.040,0.01,4.04,14.70,-6.54,-0.96,16.10
4.050,0.01,4.05,14.50,-6.50,-1.18,15.90
4.060,0.01,4.06,14.10,-6.31,-1.27,15.50
4.070,0.01,4.07,13.30,-5.93,-1.21,14.60
4.080,0.01,4.08,12.40,-5.47,-0.74,13.60
4.090,0.01,4.09,11.50,-5.04,-0.18,12.50
4.100,0.01,4.10,10.50,-4.46,0.16,11.40
4.110,0.01,4.11,9.49,-3.94,0.45,10.30
4.120,0.01,4.12,8.61,-3.46,0.75,9.31
4.130,0.01,4.13,7.85,-3.03,0.93,8.47
4.140,0.01,4.14,7.25,-2.73,1.02,7.81
4.150,0.01,4.15,6.76,-2.48,1.10,7.29
4.160,0.01,4.16,6.42,-2.29,1.15,6.91
4.170,0.01,4.17,6.28,-2.16,1.12,6.73
4.180,0.01,4.18,6.17,-2.00,0.96,6.56
4.190,0.01,4.19,6.03,-1.87,0.84,6.37
4.200,0.01,4.20,5.80,-1.66,0.72,6.08
4.210,0.01,4.21,5.56,-1.44,0.61,5.77
4.220,0.01,4.22,5.33,-1.23,0.65,5.51
4.230,0.01,4.23,5.23,-1.11,0.75,5.39
4.240,0.01,4.24,5.34,-1.13,0.82,5.52
4.250,0.01,4.25,5.58,-1.23,0.83,5.77
4.260,0.01,4.26,5.88,-1.34,0.78,6.08
4.270,0.01,4.27,6.30,-1.53,0.69,6.52
4.280,0.01,4.28,6.84,-1.84,0.60,7.11
4.290,0.01,4.29,7.25,-2.02,0.44,7.54
4.300,0.01,4.30,7.78,-2.37,0.25,8.14
4.310,0.01,4.31,8.34,-2.96,0.13,8.85
4.320,0.01,4.32,8.85,-3.22,-0.07,9.42
4.330,0.01,4.33,9.37,-3.80,-0.17,10.10
4.340,0.01,4.34,9.91,-4.47,-0.12,10.90
4.350,0.01,4.35,10.50,-5.06,-0.12,11.70
4.360,0.01,4.36,11.20,-5.77,-0.11,12.60
4.370,0.01,4.37,12.00,-6.48,-0.02,13.60
4.380,0.01,4.38,12.60,-7.07,0.09,14.50
4.390,0.01,4.39,13.20,-7.50,0.08,15.20
4.400,0.01,4.40,13.80,-7.83,0.02,15.80
4.410,0.01,4.41,14.10,-7.94,0.11,16.20
4.420,0.01,4.42,14.20,-7.90,-0.13,16.20
4.430,0.01,4.43,14.00,-7.84,-0.57,16.10
4.440,0.01,4.44,13.60,-7.63,-0.78,15.60
4.450,0.01,4.45,13.10,-7.33,-0.70,15.10
4.460,0.01,4.46,12.70,-7.49,-0.82,14.80
4.470,0.01,4.47,12.50,-8.07,-1.03,14.90
4.480,0.01,4.48,12.10,-8.32,-1.07,14.70
4.490,0.01,4.49,11.50,-7.92,-0.88,14.00
4.500,0.01,4.50,11.10,-7.52,-0.49,13.40
4.510,0.01,4.51,10.90,-7.63,-0.24,13.30
4.520,0.01,4.52,11.10,-7.63,-0.18,13.50
4.530,0.01,4.53,11.20,-7.57,-0.60,13.50
4.540,0.01,4.54,11.30,-7.51,-1.09,13.60
4.550,0.01,4.55,11.20,-7.56,-1.45,13.60
4.560,0.01,4.56,11.10,-7.58,-1.50,13.50
4.570,0.01,4.57,10.80,-7.62,-1.53,13.30
4.580,0.01,4.58,10.40,-7.62,-1.24,12.90
4.590,0.01,4.59,9.99,-7.63,-0.86,12.60
4.600,0.01,4.60,9.62,-7.62,-0.64,12.30
4.610,0.01,4.61,9.22,-7.40,-0.34,11.80
4.620,0.01,4.62,8.79,-7.07,-0.05,11.30
4.630,0.01,4.63,8.46,-6.71,-0.03,10.80
4.640,0.01,4.64,8.07,-6.29,-0.02,10.20
4.650,0.01,4.65,7.54,-5.85,-0.07,9.55
4.660,0.01,4.66,6.99,-5.40,-0.18,8.83
4.670,0.01,4.67,6.43,-4.92,-0.25,8.10
4.680,0.01,4.68,5.91,-4.52,-0.32,7.45
4.690,0.01,4.69,5.46,-4.09,-0.32,6.83
4.700,0.01,4.70,5.08,-3.63,-0.51,6.27
4.710,0.01,4.71,4.71,-3.36,-0.66,5.83
4.720,0.01,4.72,4.45,-3.14,-0.41,5.46
4.730,0.01,4.73,4.26,-2.97,-0.35,5.20
4.740,0.01,4.74,4.06,-2.90,-0.38,5.01
4.750,0.01,4.75,3.89,-2.78,-0.24,4.78
4.760,0.01,4.76,3.75,-2.63,-0.24,4.59
4.770,0.01,4.77,3.57,-2.52,-0.32,4.39
4.780,0.01,4.78,3.48,-2.46,-0.23,4.27
4.790,0.01,4.79,3.46,-2.43,-0.17,4.23
4.800,0.01,4.80,3.57,-2.57,-0.12,4.40
4.810,0.01,4.81,3.79,-2.83,-0.03,4.74
4.820,0.01,4.82,4.11,-3.20,-0.04,5.21
